Symbol,Stock Name,Earliest Date,Latest Date,Date Range (Days),Record Count,Expected Records,Missing Records,Data Quality,Has Data
COIN,"Coinbase Global, Inc.",2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
TSLA,"Tesla, Inc.",2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
NVDA,NVIDIA Corporation,2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
AVGO,Broadcom Inc.,2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
PLTR,Palantir Technologies Inc.,2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
LRCX,Lam Research Corporation,2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
CRWD,"CrowdStrike Holdings, Inc.",2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
HOOD,"Robinhood Markets, Inc.",2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
APP,AppLovin Corporation,2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
MU,"Micron Technology, Inc.",2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
SNPS,"Synopsys, Inc.",2025-08-01,2025-12-26,147,Unknown,,,Unknown,Yes
CDNS,"Cadence Design Systems, Inc.",2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
VST,Vistra Corp.,2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
DASH,"DoorDash, Inc.",2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
DELL,Dell Technologies Inc.,2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
NOW,"ServiceNow, Inc.",2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
PANW,"Palo Alto Networks, Inc.",2025-08-01,2025-12-29,150,Unknown,,,Unknown,Yes
AXON,"Axon Enterprise, Inc.",2025-08-04,2025-12-29,147,Unknown,,,Unknown,Yes
URI,"United Rentals, Inc.",2025-08-01,2025-12-27,147,Unknown,,,Unknown,Yes
