Symbol,Stock Name,Earliest Date,Latest Date,Date Range (Days),Has Data
COIN,"Coinbase Global, Inc.",2023-10-02,2025-10-31,760,Yes
TSLA,"Tesla, Inc.",2023-10-02,2025-10-31,760,Yes
NVDA,NVIDIA Corporation,2023-10-02,2025-10-31,760,Yes
AVGO,Broadcom Inc.,2023-10-02,2025-10-31,760,Yes
PLTR,Palantir Technologies Inc.,2023-10-02,2025-10-31,760,Yes
LRCX,Lam Research Corporation,2023-10-02,2025-10-31,760,Yes
CRWD,"CrowdStrike Holdings, Inc.",2023-10-02,2025-10-31,760,Yes
HOOD,"Robinhood Markets, Inc.",2023-10-02,2025-10-31,760,Yes
APP,AppLovin Corporation,2023-10-02,2025-10-31,760,Yes
MU,"Micron Technology, Inc.",2023-10-02,2025-10-31,760,Yes
SNPS,"Synopsys, Inc.",2023-10-02,2025-10-31,760,Yes
CDNS,"Cadence Design Systems, Inc.",2023-10-02,2025-10-31,760,Yes
VST,Vistra Corp.,2023-10-02,2025-10-31,760,Yes
DASH,"DoorDash, Inc.",2023-10-02,2025-10-31,760,Yes
DELL,Dell Technologies Inc.,2023-10-02,2025-10-31,760,Yes
NOW,"ServiceNow, Inc.",2023-10-02,2025-10-31,760,Yes
PANW,"Palo Alto Networks, Inc.",2023-10-02,2025-10-31,760,Yes
AXON,"Axon Enterprise, Inc.",2023-10-02,2025-10-31,760,Yes
URI,"United Rentals, Inc.",2023-10-02,2025-10-31,760,Yes
